payer,toc,outcome,spec,sample,overall_att,overall_se,n_na_cells,pretrend_p
mdcd,RX,spend_per_vol_mean,sens,c2014,0.881302768285873,1.05066185345176,0,0.32618
mdcd,RX,vol_per_bene_mean,main,all_cohorts,-1984.48786647352,1433.73511822355,0,0
mdcd,RX,vol_per_bene_mean,main,c2014,-2464.23169419137,1495.29821007802,0,0.11618
mdcd,RX,vol_per_bene_mean,sens,all_cohorts,-724.837818142439,823.733622432928,0,0
mdcd,RX,vol_per_bene_mean,sens,c2014,-922.722730404633,956.418060376985,0,0.22863
mdcd,RX,vol_per_capita_mean,main,all_cohorts,20.0573005617602,162.765747171139,0,0
mdcd,RX,vol_per_capita_mean,main,c2014,-39.2367792274224,161.60434339771,0,0.37728
mdcd,RX,vol_per_capita_mean,sens,all_cohorts,166.966387687162,99.7969882995986,0,0
mdcd,RX,vol_per_capita_mean,sens,c2014,145.2296240805,118.955544458935,0,0.27275
mdcd,Total,spend_per_bene_mean,main,all_cohorts,-332.42773437089,230.288335656801,0,0
mdcd,Total,spend_per_bene_mean,main,c2014,-299.206112990089,260.273773025064,0,0.3715
mdcd,Total,spend_per_bene_mean,sens,all_cohorts,-185.544278325482,141.498878807291,0,0
mdcd,Total,spend_per_bene_mean,sens,c2014,-93.2725495752623,165.764650452385,0,0.76437
mdcd,Total,spend_per_capita_mean,main,all_cohorts,169.50557212384,39.4277959465539,0,0
mdcd,Total,spend_per_capita_mean,main,c2014,161.55020994423,48.3527703591077,0,0.58567
mdcd,Total,spend_per_capita_mean,sens,all_cohorts,214.786310920933,32.0401320579937,0,0
mdcd,Total,spend_per_capita_mean,sens,c2014,220.15858801085,36.400246096203,0,0.97127
mdcd,Total,spend_per_vol_mean,main,all_cohorts,0.0140716499204964,0.0134315084490044,0,0
mdcd,Total,spend_per_vol_mean,main,c2014,0.0210006467026625,0.011606481912323,0,0.02831
mdcd,Total,spend_per_vol_mean,sens,all_cohorts,-0.00379447329053794,0.00967649494919831,0,0
mdcd,Total,spend_per_vol_mean,sens,c2014,-1.80801987798226e-05,0.0112065394528656,0,0.18142
mdcd,Total,vol_per_bene_mean,main,all_cohorts,-2598.63395488451,1230.64976504508,0,0
mdcd,Total,vol_per_bene_mean,main,c2014,-3086.79768133626,1471.31417933285,0,0.19402
mdcd,Total,vol_per_bene_mean,sens,all_cohorts,-677.898464610226,960.121242157123,0,0
mdcd,Total,vol_per_bene_mean,sens,c2014,-578.64125320679,1215.87026160406,0,0.11079
mdcd,Total,vol_per_capita_mean,main,all_cohorts,334.692609989387,174.205215360273,0,0
mdcd,Total,vol_per_capita_mean,main,c2014,224.873204393314,198.628299983052,0,0.06422
mdcd,Total,vol_per_capita_mean,sens,all_cohorts,669.116804486088,153.891338983297,0,0
mdcd,Total,vol_per_capita_mean,sens,c2014,656.456857796152,191.663501500783,0,0.20741
mdcr,AM,spend_per_bene_mean,main,all_cohorts,31.0248305101959,35.0252059615567,0,0
mdcr,AM,spend_per_bene_mean,main,c2014,32.6491290838724,37.4707646948816,0,0.37792
mdcr,AM,spend_per_bene_mean,sens,all_cohorts,-38.2337536765503,22.5559461245981,0,0
mdcr,AM,spend_per_bene_mean,sens,c2014,-48.4508417090566,25.1304611017628,0,0.55775
mdcr,AM,spend_per_capita_mean,main,all_cohorts,-32.6217998030424,26.0341582222299,0,0
mdcr,AM,spend_per_capita_mean,main,c2014,-36.9236619192644,32.8252766188581,0,0.05741
mdcr,AM,spend_per_capita_mean,sens,all_cohorts,-57.5774409489407,17.344271520819,0,0
mdcr,AM,spend_per_capita_mean,sens,c2014,-64.1891538886677,19.6799046766739,0,0.30299
mdcr,AM,spend_per_vol_mean,main,all_cohorts,-0.0172858632406525,0.967341445661238,0,0
mdcr,AM,spend_per_vol_mean,main,c2014,-0.278963564760472,1.16657282694287,0,0.1355
mdcr,AM,spend_per_vol_mean,sens,all_cohorts,-0.0146161002524005,0.789160493917749,0,0
mdcr,AM,spend_per_vol_mean,sens,c2014,0.269911442905301,0.847775004913331,0,0.33404
mdcr,AM,vol_per_bene_mean,main,all_cohorts,137.715473402923,163.77648701791,0,0
mdcr,AM,vol_per_bene_mean,main,c2014,161.644033775519,168.412087069329,0,0.3335
mdcr,AM,vol_per_bene_mean,sens,all_cohorts,-183.720023162497,110.289725277118,0,0
mdcr,AM,vol_per_bene_mean,sens,c2014,-249.960658810582,135.936331394536,0,0.8285
mdcr,AM,vol_per_capita_mean,main,all_cohorts,-92.230430975197,115.009814606182,0,0
mdcr,AM,vol_per_capita_mean,main,c2014,-91.6383725813635,132.914778502503,0,0.68203
mdcr,AM,vol_per_capita_mean,sens,all_cohorts,-241.010221876499,75.5666106038574,0,0
mdcr,AM,vol_per_capita_mean,sens,c2014,-288.836449969981,89.3989897358568,0,0.32388
mdcr,ED,spend_per_bene_mean,main,all_cohorts,11.2322258214091,8.36103333511392,0,0
mdcr,ED,spend_per_bene_mean,main,c2014,11.617860820519,8.66380729805432,0,0.84875
mdcr,ED,spend_per_bene_mean,sens,all_cohorts,-3.8373752493916,6.96969658680343,0,0
mdcr,ED,spend_per_bene_mean,sens,c2014,-5.71138034557999,8.55138136944121,0,0.73534
mdcr,ED,spend_per_capita_mean,main,all_cohorts,2.37320216442151,5.44217147864308,0,0
mdcr,ED,spend_per_capita_mean,main,c2014,2.38752784545104,6.27541239185593,0,0.60406
mdcr,ED,spend_per_capita_mean,sens,all_cohorts,-4.97032728581447,4.28461585843699,0,0
mdcr,ED,spend_per_capita_mean,sens,c2014,-5.93622643955012,4.98833254473232,0,0.46371
mdcr,ED,spend_per_vol_mean,main,all_cohorts,4.37229967859304,2.46399310696644,0,0
mdcr,ED,spend_per_vol_mean,main,c2014,5.54313287953243,2.63467255999862,0,0.00849
mdcr,ED,spend_per_vol_mean,sens,all_cohorts,0.350395997786055,1.98203906222988,0,0
mdcr,ED,spend_per_vol_mean,sens,c2014,1.07019885018286,2.06085275355241,0,0.11014
mdcr,ED,vol_per_bene_mean,main,all_cohorts,11.0824922743278,9.87382544536685,0,0
mdcr,ED,vol_per_bene_mean,main,c2014,10.5195878475463,10.4932737611528,0,0.92433
mdcr,ED,vol_per_bene_mean,sens,all_cohorts,-8.61352488839777,8.97811564206375,0,0
